,isourbid,iso3,urbid,name,pop_2000,area_sq_km,urban_day_mean,buffer_day_mean,day_diff,urban_night_mean,buffer_night_mean,night_diff,latitude,longitude,pop_per_sq_km
22,NZL96,NZL,96,HASTINGS,113497.0,346.34,32.96,32.96,2.14,12.15,12.06,0.08999999999999986,-39.50764653,176.8610136,327.7039902985506
23,CHL101,CHL,101,VALDIVIA,124590.0,180.26,28.51,28.51,1.38,11.03,10.83,0.1999999999999993,-39.81947928,-73.22024876,691.1683124375902
37,CHL125,CHL,125,OSORNO,128430.0,280.58,35.07,35.07,1.24,10.75,10.299000000000001,-0.07000000000000028,-40.54164547,-73.15248481,457.7304155677525
51,NZL155,NZL,155,WELLINGTON,480770.0,754.77,28.24,28.24,3.61,10.75,10.299000000000001,0.20999999999999908,-41.19272482,174.9205029,636.9755024709515
61,CHL183,CHL,183,PUERTOMONTT,143354.0,172.34,29.31,29.31,2.35,10.75,10.299000000000001,-0.7299999999999969,-41.45672752,-72.94488908,831.8092143437391
73,AUS226,AUS,226,HOBART,190598.0,433.35,33.94,33.94,1.95,10.75,10.299000000000001,0.2599999999999998,-42.84981153,147.3440314,439.82462212991805
79,NZL242,NZL,242,CHRISTCHURCH,348117.0,737.7,31.47,31.47,2.19,10.75,10.299000000000001,0.34000000000000163,-43.48796884,172.6002759,471.89507930052866
100,ARG293,ARG,293,COMODORORIVADAVIA,140973.0,417.35,39.45,39.45,0.01,10.75,10.299000000000001,1.42,-45.81408305,-67.54626912,337.78123876841977
101,NZL298,NZL,298,DUNEDIN,107819.0,283.35,28.24,28.24,1.97,10.75,10.299000000000001,-0.25,-45.86698734,170.4730231,380.51526380801124
122,CHL394,CHL,394,PUNTAARENAS,114592.0,142.96,28.24,28.24,0.03,10.75,10.299000000000001,0.8000000000000007,-53.12679359,-70.94782535,801.5668718522663
140,RUS537,RUS,537,NORILSK,140587.0,47.765,34.98,34.98,2.85,10.75,10.299000000000001,1.7710000000000001,69.32154645,88.21226573,12945.395948434623
141,RUS542,RUS,542,MURMANSK,426550.0,1270.26,28.24,28.24,-0.46,10.75,10.299000000000001,0.27999999999999936,68.96678958,33.15519176,335.79739580873206
161,RUS707,RUS,707,APATITY,105379.2,756.86,28.24,28.24,0.51,10.75,10.299000000000001,-0.7299999999999969,67.59663257,33.69532345,137.67407446555507
162,RUS711,RUS,711,VORKUTA,114500.0,957.23,30.03,30.03,-0.77,10.75,10.299000000000001,0.9600000000000009,67.53073558,63.9466964,119.61597526195376
206,FIN1047,FIN,1047,OULU,185935.0,1337.33,28.24,28.24,-0.22,10.75,10.299000000000001,0.7200000000000024,65.00482862,25.57909157,139.0344941039235
220,RUS1157,RUS,1157,ARCHANGEL,409317.0,1038.27,28.24,28.24,0.37,10.75,10.299000000000001,0.5299999999999994,64.53176448,40.5886186,394.2298246120951
233,ISL1285,ISL,1285,REYKJAVIK,174294.0,454.47,28.24,28.24,-0.58,10.75,10.299000000000001,0.10000000000000142,64.11785088,-21.7748005,383.5104627368143
259,RUS1458,RUS,1458,UHTA,136120.0,764.17,28.24,28.24,0.49,10.75,10.299000000000001,0.9199999999999999,63.55535081,53.72834782,178.12790347697504
262,NOR1476,NOR,1476,TRONDHEIM,172647.0,1504.27,28.24,28.24,-0.63,10.75,10.299000000000001,0.33000000000000185,63.30938267,10.32935083,114.77128441037846
303,FIN1856,FIN,1856,JYVASKYLA,115058.0,697.92,28.24,28.24,0.95,10.75,10.93,-0.17999999999999972,62.28772243,25.7503902,164.85843649701974
310,RUS1940,RUS,1940,JAKUTSK,205870.0,753.92,28.24,28.24,0.98,10.75,10.299000000000001,0.6100000000000012,62.04116547,129.7027861,273.0661078098472
322,RUS2049,RUS,2049,PETROZAVODSK,266933.0,451.94,28.24,28.24,1.25,10.75,11.42,-0.7299999999999969,61.82605545,34.25456052,590.6381378059034
325,RUS2060,RUS,2060,SYKTYVKAR,228432.0,771.0,28.24,28.24,0.93,10.75,10.299000000000001,0.6400000000000006,61.72120316,50.7847849,296.2801556420234
338,USA2135,USA,2135,ANCHORAGE,572916.0,2138.968,28.24,28.24,0.88,10.75,10.299000000000001,1.7710000000000001,61.35653925,-149.6303048,221.709854184081
342,FIN2159,FIN,2159,TAMPERE,386255.0,991.99,28.24,28.24,1.1,10.99,11.94,-0.7299999999999969,61.44839804,23.78872095,389.37388481738725
352,RUS2251,RUS,2251,KOTLAS,110400.0,666.34,28.24,28.24,1.03,10.75,10.299000000000001,0.21000000000000085,61.27242441,46.88544257,165.6811837800522
355,FIN2268,FIN,2268,LAHDEN,158459.0,776.59,28.24,28.24,0.57,11.73,11.66,0.07000000000000028,61.0494712,25.78419019,204.04460526146357
